"Account Name","Opportunity Name","Close Date","Created Date","Lead Source","Notes"
"Benchmark General Construction","Benchmark General Construction - Premium","26/08/2022","27/05/2022","High Potential Trials","Ran through cadence & he signed up"
"Lee Seidenberg Photography","Lee Seidenberg Photography - Bench Essential $299 + 14 months catchup","26/08/2022","16/08/2022","B2C Marketing","Client is interested in Bench as they are behind on their books. Need to file taxes for all of 2021, and get caught up for 2022. Looking at potentially 12 months of catchup. They were also interested in the Tax aspect of Bench as they no longer have a CPA. Positioned Bench Premium as well. 

Call set with Michael for Thursday, August 25th at 9:30 AM EST.

Update: We had our discovery call with lee. He is interested in the Essential plan with a 12-month contract paying monthly. He needs to be caught up for 2021 and has to file his taxes by october. Michael let him know the price of both 12 months and 18 months CU. 

Financial walkthrough set for August 25th at 4:30 PM EST.  Michael will also be discussing the possibility of having a payment plan set up for the CU.

Lee agreed to proceed with the contract essential paying monthly and CU as follows:

i) First 6 Months (August- Jan) - $239.20/mo then 299 after
Historical Bookkeeping - inclusive of 20% discount
$1913.60 (May - Dec 2021, 8 months)
$1435.20 (Jan - Jun 2022, 6 months)"
"Krupnick-Ribotsky Limited","Krupnick-Ribotsky Limited - Bench","25/08/2022","17/08/2022","Drift","Meeting booked for 8/18 @ 10:30am

Thought they would do more initially, hoping I was able to clarify that they do all the back-end stuff, nothing related to or inside of FreshBooks

Said she still needed this service as well so went ahead and booked the meeting

Meeting went well, follow up is scheduled for 8/23 @ 10:30am
Would need the Pro service for sure, Historical is undecided at the moment"
"Sophisticated  Setups and Cleaning","Sophisticated  Setups and Cleaning - Bench","25/08/2022","15/08/2022","High Potential Trials","S - She is currently having trouble keeping up with her growing cleaning business, feels overwhelmed by the accounting/bookkeeping, she spends Tuesday from 7am - 1 pm working on the books and still does not have enough time, she wants help with bookkeeping, payroll, and just overall invoicing and accounting help, she is also a mother of 2 and would love to spend more time with them and growing her business.
P - NO CPA, had to file an extension for her taxes, keeping records on a notepad, growing way to fast to keep up with everything solo
I - $2,200 is the cost of the ttime she is spending doing bookkeeping and invoicing
N - We got her signed up on a Select 100 plan and then having a meeting with Bench to get her potentially signed up with them for bookkeeping/accounting/tax filing help"
"Club SciKidz","Club SciKidz - Bench Premium","24/08/2022","29/07/2022","High Potential Trials","Imported $67,502.54 USD in expenses.
Filled up the lead pass form"
"KB Care PLLC","KB Care PLLC-Bench Essential plan + 6 months catchup, FreshBooks Plus plan","24/08/2022","23/08/2022","Drift","Green signal from both partners wants to start today
Name: Karthikeyan Alamelumangapuram
Company: KB Care PLLC
email: karthik@prognifyurgentcare.com
Subscriptions:
ongoing subscription is 12 month contract, month-to-month
$239.20 for the first 6 months, then $299/m after
Catchup is $299 x 6 (Jan 2022-June 2022) = $1,794 plus 20% RUSH FEE:
Total Catchup = $2,152.80
Total due today = $2,152.80 + $239.20 = $2,392
FreshBooks:
Plus plan with 70% off for 3 months: Due today $7.50

1st call completed 2pm Aug 23- solid call with Alission accounts connected with BOA- Credit, Chequing
2nd appointmentAug 24th with a partner- 12 pm CONFIRMED

First/Last name: Karthikeyan 
Email: karthik@prognifyurgentcare.com
Office Number: (650) 679-3733
Company Name: Urgent care ( Kp care PLLC ) Progfiny care 
Current Software: None
Bookkeeping: CPA/ interested to know about Bench\nTimeline: Right Away
Payment: Cleargate 
Payroll: 18 employees Already with gusto 
Other Info: \n
- Can they generate the last 3 years' reports (Mainly PnL )\n
- Interested to know other payment gateways and rates we have to offer \n
- Project Profitability \n
- Bank reconciliation"
"Resonate, LLC","Resonate, LLC - Bench Essential + 6 months of CU","24/08/2022","16/08/2022","B2C Marketing","Tonja owns a creative agency
Doing her BKK by herself but is reaching the stage where she wants to outsource it. Told her about Bench and wants a demo to see how it works. Pricing works for her, Booked a call with Michael for next Tuesday, Aug 23 at 1030am CT

Tonja has been looking for a good bookkeeper since she's getting busy and its a lot on her plate. 

They have been doing it by themselves after she did not like her last QB BKK. 

She has an accountant so it was smooth but she had to do all the preparations by herself.

Tonja is looking for options as she scales and become more busy more than ever before. She's interested on how Bench can simplify her workflow."
"AET LLC","AET LLC - Bench Essential","23/08/2022","12/08/2022","B2C Marketing","Moving Forward: 
Prepaid (1 yr Commitment) - BEST VALUE
$224.10/mo ($2,689.20/yr)
6? months x $299 = Total Historical Cost  = $1,794
Trial Month: July - Free ($0)
 $1524.9 for cu (15% off historical work) (Jan - July)

Client is moving to Premium Annually with 25% off for August 2022 - October 2022 and then will be paying $45/mo until August 2023 (locking old rate) 

Annual Revenue = $37.50 (3) + $45.00 (9) = $517.50 / 12 = 43.13


--

Alex manages his expenses on his own on the platform and had trouble trying to migrate from quickbooks. Bookkeeping is super stressful for him and mentioned he was going to leave freshbooks because the data migration and the trouble categorizing the expenses on the platform and wanted something that could help him with that area. I was able to pitch him Bench and mention that the price was going to increase as of Sunday. He is aware of the pricing. Call is scheduled for Monday August 15, 2022 w/ Alison Williams

--

Scott did not show up to the appointment. Said he had a hectic morning. We are looking to potentially reschedule his meeting.

-- 

Rescheduled appoint for Wednesday August 17, 2022 @ 10:30am w/ Ryan Robinson"
"DNEE Designs LLC","DNEE Designs LLC - Bench Premium","23/08/2022","15/08/2022","","1st Call scheduled on Monday 22nd"
"Eye of Balance","Eye of Balance - Bench & Catch Up","23/08/2022","18/08/2022","FreshBooks Trialers","Reactivating Bench with 3 months worth of catch up. Waiting on Stef (Bench team) to reach out to client to confirm activation before running a charge"
